date,count
20170316,24
20170315,29
20170314,49
20170313,55
20170312,0
20170311,0
20170310,28
20170309,95
20170308,58
20170307,40
20170306,82
20170305,0
20170304,0
20170303,16
20170302,64
20170301,37
20170228,45
20170227,29
20170226,0
20170225,0
20170224,25
20170223,90
20170222,64
20170221,49
20170220,8
20170219,0
20170218,0
20170217,8
20170216,48
20170215,38
20170214,61
20170213,41
20170212,0
20170211,0
20170210,23
20170209,61
20170208,42
20170207,27
20170206,21
20170205,0
20170204,0
20170203,42
20170202,52
20170201,40
20170131,0
20170130,2
20170129,0
20170128,0
20170127,5
20170126,52
20170125,37
20170124,15
20170123,15
20170122,0
20170121,0
20170120,4
20170119,9
20170118,6
20170117,6
20170116,3
20170115,0
20170114,0
20170113,3
20170112,16
20170111,8
20170110,6
20170109,3
20170108,0
20170107,0
20170106,0
20170105,4
20170104,7
20170103,1
20170102,0
20170101,0
20161231,0
20161230,0
20161229,1
20161228,1
20161227,2
20161226,1
20161225,0
20161224,0
20161223,0
20161222,3
20161221,18
20161220,27
20161219,56
20161218,0
20161217,0
20161216,33
