date,count
20161216,15
20161215,29
20161214,14
20161213,17
20161212,36
20161211,0
20161210,0
20161209,18
20161208,44
20161207,16
20161206,20
20161205,31
20161204,0
20161203,0
20161202,16
20161201,0
20161130,0
20161129,36
20161128,39
20161127,0
20161126,0
20161125,28
20161124,30
20161123,17
20161122,48
20161121,50
20161120,0
20161119,0
20161118,43
20161117,65
20161116,32
20161115,53
20161114,113
20161113,0
20161112,0
20161111,78
20161110,193
20161109,163
20161108,144
20161107,152
20161106,0
20161105,0
20161104,81
20161103,302
20161102,223
20161101,154
20161031,43
20161030,0
20161029,0
20161028,37
20161027,142
20161026,104
20161025,69
20161024,23
20161023,0
20161022,0
20161021,8
20161020,28
20161019,33
20161018,24
20161017,8
20161016,0
20161015,0
20161014,4
20161013,8
20161012,10
20161011,5
20161010,1
20161009,0
20161008,0
20161007,2
20161006,5
20161005,4
20161004,3
20161003,0
20161002,0
20161001,0
20160930,15
20160929,17
20160928,14
20160927,11
20160926,18
20160925,0
20160924,0
20160923,18
20160922,18
20160921,10
20160920,14
20160919,16
20160918,0
20160917,0
