Date,Open,High,Low,Close
2015-10-14,15.91,16.16,15.77,15.83
2015-10-15,15.92,16.54,15.78,16.42
2015-10-16,16.5,16.5,16.06,16.41
2015-10-19,16.61,16.81,16.06,16.7
2015-10-20,16.4,16.9,16.26,16.61
2015-10-21,16.67,16.67,16.12,16.13
2015-10-22,16.33,16.59,16.29,16.48
2015-10-23,16.48,16.78,16.48,16.7
2015-10-26,16.61,16.91,15.76,16.9
2015-10-27,16.8,16.8,15.96,15.96
2015-10-28,16.02,16.79,15.8,16.74
2015-10-29,16.74,16.85,16.43,16.74
2015-10-30,16.79,16.79,16.1,16.21
2015-11-02,16.25,16.59,16.25,16.54
2015-11-03,16.54,16.71,16.4401,16.5
2015-11-04,16.69,16.7766,16.5,16.64
2015-11-05,16.64,16.8544,16.57,16.84
2015-11-06,17.02,17.529,17.02,17.45
2015-11-09,17.4,17.5,17.37,17.45
2015-11-10,17.4,17.4,17.1835,17.25
2015-11-11,17.38,17.5,17.38,17.44
2015-11-12,17.33,17.33,16.99,17.04
2015-11-13,16.94,17.43,16.92,17.27
2015-11-16,17.31,17.38,17.2017,17.38
2015-11-17,17.38,17.46,17.08,17.21
2015-11-18,17.25,17.36,17,17.3
2015-11-19,17.29,17.56,17.2211,17.52
2015-11-20,17.52,17.97,17.52,17.84
2015-11-23,17.83,17.98,17.6801,17.75
2015-11-24,17.72,17.82,17.47,17.6
2015-11-25,17.51,17.71,17.49,17.67
2015-11-27,17.65,17.75,17.63,17.74
2015-11-30,17.75,17.99,17.73,17.84
2015-12-01,17.86,17.99,17.855,17.87
2015-12-02,17.86,18,17.86,17.96
2015-12-03,17.98,18.17,17.81,17.96
2015-12-04,17.95,18.49,17.81,18.44
2015-12-07,18.36,18.36,17.82,17.88
2015-12-08,17.75,18.12,17.69,18
2015-12-09,18.135,18.185,17.88,18.01
2015-12-10,18.01,18.13,17.95,18.01
2015-12-11,17.94,18.2,17.85,18.01
2015-12-14,18,18.2,17.98,18.08
2015-12-15,18.19,18.33,17.99,18.11
2015-12-16,18.11,18.39,18.07,18.3
2015-12-17,18.07,19.13,18.07,18.71
2015-12-18,18.6,18.7899,18.11,18.2
2015-12-21,18.34,18.47,17.54,17.78
2015-12-22,17.75,18.05,17.75,17.96
2015-12-23,17.85,18.02,17.72,17.77
2015-12-24,17.79,18.01,17.5,17.81
2015-12-28,17.8,17.84,17.65,17.75
2015-12-29,17.71,18.01,17.69,17.96
2015-12-30,18.03,18.03,17.67,17.67
2015-12-31,17.705,17.8,17.62,17.65
2016-01-04,17.21,17.58,17,17.51
2016-01-05,17.78,18.02,17.51,17.99
2016-01-06,17.82,18.07,17.74,17.85
2016-01-07,17.75,17.75,17.15,17.15
2016-01-08,17.15,17.43,16.77,16.82
2016-01-11,16.7701,17.14,16.7701,17.08
2016-01-12,17.19,17.29,16.91,17.16
2016-01-13,17.2,17.2,16.21,16.38
2016-01-14,16.38,16.64,16.23,16.4
2016-01-15,15.93,16.22,15.780100000000001,15.99
2016-01-19,16.27,16.35,15.95,16.19
2016-01-20,16.01,17.055,16,17
2016-01-21,16.9,17.53,16.17,16.46
2016-01-22,16.52,17.3,16.5,16.97
2016-01-25,16.98,17.05,16.65,16.82
2016-01-26,17.03,17.72,17.03,17.6
2016-01-27,17.64,17.99,17.4301,17.67
2016-01-28,17.85,18.13,17.85,17.97
2016-01-29,18,18.41,18,18.2
2016-02-01,18.26,18.29,17.79,17.84
2016-02-02,17.69,17.91,17.53,17.59
2016-02-03,17.56,17.73,17.0484,17.42
2016-02-04,17.5,17.79,17.22,17.34
2016-02-05,17.37,17.45,16.84,16.85
2016-02-08,16.82,17.3,16.5201,17.16
2016-02-09,16.9,17.135,16.765,16.98
2016-02-10,17.17,17.24,16.89,16.93
2016-02-11,16.65,17.33,16.65,17.2
2016-02-12,17.47,17.5199,17.1892,17.46
2016-02-16,17.32,17.64,17.15,17.25
2016-02-17,17.32,17.41,17.18,17.28
2016-02-18,17.36,17.47,17.18,17.25
2016-02-19,17.25,17.77,17.25,17.3
2016-02-22,17.58,19.05,17.58,17.77
2016-02-23,17.79,18.3799,17.4666,17.61
2016-02-24,17.51,18.4,17.4,18.39
2016-02-25,18.36,18.88,18.3,18.37
2016-02-26,18.46,18.88,18.46,18.75
2016-02-29,18.57,18.95,17.86,18.77
2016-03-01,18.77,18.77,18.77,19.17
2016-03-02,19.02,19.69,18.98,19.17
2016-03-03,19.67,19.67,19.67,19.36
2016-03-04,19.36,19.36,19.36,19.42
2016-03-07,19.42,19.42,19.42,19.5
2016-03-08,19.45,19.63,19.27,19.5
2016-03-09,19.35,19.35,19.35,19.38
2016-03-10,19.35,19.51,18.58,19.38
2016-03-11,18.87,19.3,18.71,19.25
2016-03-14,19.01,19.115,18.76,18.7842
2016-03-15,19.03,19.03,19.03,18.83
2016-03-16,18.69,19.05,18.31,18.65
2016-03-17,18.66,18.88,18.49,18.61
2016-03-18,18.9,19.31,18.51,19.08
2016-03-21,19.15,19.17,18.7,18.77
2016-03-22,18.7,18.78,18.57,18.62
2016-03-23,18.62,18.62,18.62,18.62
2016-03-24,17.99,18.02,17.66,17.75
2016-03-28,17.85,18.205,17.73,17.74
2016-03-29,17.84,17.87,17.7,17.86
2016-03-30,17.82,18.24,17.82,18.13
2016-03-31,18.24,18.3142,18.1689,18.24
2016-04-01,18.15,18.15,18.15,17.95
2016-04-04,18.05,18.33,17.995,17.94
2016-04-05,17.94,17.94,17.94,17.67
2016-04-06,17.67,17.67,17.67,17.44
2016-04-07,17.44,17.44,17.44,17.1
2016-04-08,17.17,17.45,16.9,17.06
2016-04-11,16.99,17.53,16.94,17.01
2016-04-12,16.98,17.6,16.98,17.49
2016-04-13,17.53,18.38,17,18.1
2016-04-14,17.95,18.22,17.82,18
2016-04-15,17.86,18.61,17.7,18.38
2016-04-18,18.05,18.58,18.05,18.39
2016-04-19,18.28,18.49,18.11,18.41
2016-04-20,18.67,19.05,18.595,18.65
2016-04-21,18.73,18.76,18.42,18.47
2016-04-22,18.52,18.75,18.43,18.72
2016-04-25,18.15,18.97,18.15,18.4
2016-04-26,18.27,18.275,17.92,18.18
2016-04-27,18.14,18.21,17.71,17.79
2016-04-28,17.725,17.75,17.11,17.64
2016-04-29,17.51,17.84,17.25,17.61
2016-05-02,17.72,17.895,16.9,17.13
2016-05-03,17.05,17.05,16.55,16.57
2016-05-04,16.5,16.79,16.29,16.5
2016-05-05,16.52,16.84,16.5,16.65
2016-05-06,16.55,16.99,16.4325,16.75
2016-05-09,16.83,17.29,16.69,16.8
2016-05-10,16.89,17.25,16.7704,17.18
2016-05-11,17.09,18.72,16.92,17.01
2016-05-12,17.08,17.2,16.8,17.18
2016-05-13,17.17,17.17,16.85,16.91
2016-05-16,17.02,17.29,16.942,17.15
2016-05-17,16.95,17.1,16.43,16.57
2016-05-18,17.5333,17.94,16.88,16.91
2016-05-19,16.99,17.31,16.7151,17.11
2016-05-20,17.21,17.479,16.92,17.08
2016-05-23,17.15,17.34,17.04,17.24
2016-05-24,17.16,17.7,17.16,17.59
2016-05-25,17.59,17.78,17.39,17.4
2016-05-26,17.3,17.5799,17.3,17.41
2016-05-27,17.48,17.48,17.33,17.39
2016-05-31,17.51,17.51,17.2,17.27
2016-06-01,17.22,17.92,17.2101,17.34
2016-06-02,16.81,17.38,16.81,17.34
2016-06-03,17.28,17.28,16.87,16.92
2016-06-06,16.99,17.36,16.92,17.17
2016-06-07,17.26,17.26,16.92,16.95
