Date,Open,High,Low,Close
2016-04-14,18.25,18.33,17.93,18.06
2016-04-15,17.96,18.24,17.8401,17.89
2016-04-18,18.03,18.24,17.9,18
2016-04-19,18.27,18.27,17.83,17.91
2016-04-20,17.95,18.04,17.86,17.87
2016-04-21,17.81,17.9,17.81,17.88
2016-04-22,17.93,18.05,17.93,18.02
2016-04-25,18,18,17.91,17.98
2016-04-26,18,18,17.93,18
2016-04-27,18,18,17.93,17.99
2016-04-28,17.97,18,17.67,17.75
2016-04-29,17.75,17.92,17.75,17.89
2016-05-02,17.85,18.14,17.85,18.04
2016-05-03,17.95,17.95,17.54,17.61
2016-05-04,17.55,17.82,17.53,17.59
2016-05-05,17.69,17.89,17.34,17.4
2016-05-06,17.41,17.9,17.334,17.69
2016-05-09,17.67,17.94,17.67,17.85
2016-05-10,17.95,18,17.86,17.9
2016-05-11,17.81,17.979,17.75,17.87
2016-05-12,17.88,17.89,17.6,17.66
2016-05-13,17.67,17.83,17.6,17.66
2016-05-16,17.67,17.93,17.59,17.79
2016-05-17,17.7,17.87,17.3,17.36
2016-05-18,17.27,17.74,17.27,17.71
2016-05-19,17.68,17.694,17.35,17.52
2016-05-20,17.62,17.83,17.62,17.81
2016-05-23,17.93,17.94,17.7,17.74
2016-05-24,17.9,18,17.86,17.88
2016-05-25,17.9,17.9778,17.63,17.77
2016-05-26,17.77,17.81,17.76,17.76
2016-05-27,17.67,17.81,17.67,17.81
2016-05-31,17.7111,17.89,17.7,17.85
2016-06-01,17.63,17.85,17.61,17.83
2016-06-02,17.84,18.02,17.71,17.92
2016-06-03,17.74,17.84,17.73,17.77
2016-06-06,17.77,18,17.77,17.93
2016-06-07,17.8474,17.9,17.75,17.8
2016-06-08,17.65,17.88,17.64,17.81
2016-06-09,17.86,18,17.6,17.97
2016-06-10,17.97,18,17.5601,17.79
2016-06-13,17.585,17.88,17.585,17.79
2016-06-14,17.7,17.81,17.65,17.69
2016-06-15,17.8,17.8,17.67,17.7
2016-06-16,17.7,17.7,17.55,17.68
2016-06-17,17.7,17.73,17.42,17.48
2016-06-20,17.62,17.75,17.62,17.66
2016-06-21,17.7,17.7,17.46,17.66
2016-06-22,17.7,17.72,17.62,17.68
2016-06-23,17.8,18.22,17.79,18.13
2016-06-24,17.58,17.97,17.29,17.7
2016-06-27,17.52,17.52,17.07,17.22
2016-06-28,17.32,17.42,17.14,17.29
2016-06-29,18.29,18.29,17.52,17.61
2016-06-30,17.68,17.83,17.49,17.8
2016-07-01,17.56,17.75,17.35,17.53
2016-07-05,17.38,17.87,17.3601,17.58
2016-07-06,17.33,17.88,17.33,17.76
2016-07-07,17.65,17.88,17.5,17.61
2016-07-08,17.67,17.9016,17.55,17.79
2016-07-11,17.76,18.28,17.76,17.98
2016-07-12,18,18.78,17.82,18.4
2016-07-13,18.37,18.8599,18.13,18.76
2016-07-14,18.9,18.9,18.76,18.88
2016-07-15,18.9,18.9,18.79,18.9
2016-07-18,18.63,18.89,18.4,18.86
2016-07-19,18.86,18.86,18.49,18.78
2016-07-20,18.78,18.9,18.73,18.83
2016-07-21,18.69,18.81,18.5,18.64
2016-07-22,18.59,18.8,18.45,18.63
2016-07-25,18.52,18.65,18.3,18.47
2016-07-26,18.071,18.64,18.071,18.62
2016-07-27,18.65,18.69,18.48,18.54
2016-07-28,18.4,18.53,18.4,18.47
2016-07-29,18.29,18.58,18.28,18.45
2016-08-01,18.34,18.595,18.22,18.55
2016-08-02,18.55,18.6,18.19,18.21
2016-08-03,18.33,18.55,18.265,18.54
2016-08-04,18.57,18.57,18.41,18.41
2016-08-05,18.57,18.9,18.39,18.87
2016-08-08,18.9,18.9,18.75,18.77
2016-08-09,18.9,18.9,18.88,18.89
2016-08-10,18.67,18.9,18.67,18.79
2016-08-11,18.76,19,18.75,18.97
2016-08-12,18.94,19,18.85,18.9
2016-08-15,18.932,19,18.85,19
2016-08-16,19,19.32,18.873,19.18
2016-08-17,19.155,19.79,19.12,19.43
2016-08-18,19.53,19.75,19.01,19.6
2016-08-19,19.5,19.75,19.4816,19.66
2016-08-22,19.66,19.81,19.56,19.69
2016-08-23,19.88,19.99,19.76,19.81
2016-08-24,19.727,19.9,19.55,19.7
2016-08-25,19.61,20,19.61,19.99
2016-08-26,20,20,19.7,19.95
2016-08-29,19.85,20.31,19.823,20.01
2016-08-30,19.93,20.05,19.79,19.91
2016-08-31,20.2,20.24,19.73,20.15
2016-09-01,20.14,20.17,19.55,20.15
2016-09-02,20.08,20.55,20.0101,20.55
2016-09-06,20.44,20.725,20.27,20.64
2016-09-07,20.4,21.09,20.4,20.94
2016-09-08,20.88,21.19,20.8,20.91
2016-09-09,20.7,21.7,20.27,20.34
2016-09-12,20.31,20.31,19.925,20.14
2016-09-13,20,20.0366,19.51,19.73
2016-09-14,19.71,19.92,19.6,19.68
2016-09-15,19.8,20.9488,19.8,20.51
2016-09-16,20.58,20.8257,20.18,20.42
2016-09-19,20.36,20.7447,20.36,20.56
2016-09-20,20.62,20.77,20.3926,20.53
2016-09-21,20.48,20.78,20.32,20.78
2016-09-22,20.51,21.01,20.51,20.97
2016-09-23,20.72,21.05,20.63,20.87
2016-09-26,20.23,20.79,20.23,20.42
2016-09-27,20.39,20.91,20.39,20.75
2016-09-28,20.75,20.93,20.2,20.82
2016-09-29,20.86,21.27,20.67,20.77
2016-09-30,20.6,21.29,20.6,21.16
2016-10-03,21.02,21.02,20.1701,20.3
2016-10-04,20.38,20.74,20.26,20.35
2016-10-05,20.425,20.74,20.3784,20.57
2016-10-06,20.505,20.82,20.3,20.7
2016-10-07,20.74,21.12,20.47,20.48
2016-10-10,20.57,20.714,20.46,20.48
2016-10-11,20.49,20.61,20.12,20.19
2016-10-12,20.05,20.3799,19.845,20.05
2016-10-13,19.88,20,19.84,19.89
2016-10-14,19.995,20.03,19.24,19.43
