Date,Open,High,Low,Close
2015-10-14,14.79,14.8,14.32,14.36
2015-10-15,14.44,14.77,14.36,14.72
2015-10-16,14.77,14.82,14.635,14.69
2015-10-19,14.61,14.79,14.58,14.59
2015-10-20,14.65,14.816,14.6,14.72
2015-10-21,14.75,14.8,14.5,14.5
2015-10-22,14.62,14.88,14.62,14.75
2015-10-23,14.75,14.8699,14.687,14.745
2015-10-26,14.8,14.84,14.62,14.67
2015-10-27,14.58,14.75,14.42,14.5
2015-10-28,14.56,15.14,14.5,15.05
2015-10-29,15.03,15.13,14.92,14.98
2015-10-30,15.03,15.1299,14.505,14.58
2015-11-02,14.6,14.97,14.58,14.85
2015-11-03,14.79,14.92,14.73,14.78
2015-11-04,14.86,15.1,14.79,15
2015-11-05,15.03,15.47,14.95,15.36
2015-11-06,15.3,15.7,15.3,15.45
2015-11-09,15.5,15.53,15.19,15.26
2015-11-10,15.27,15.35,15.15,15.19
2015-11-11,15.26,15.47,15.19,15.43
2015-11-12,15.38,15.38,15.07,15.11
2015-11-13,15.03,15.17,14.8,14.94
2015-11-16,14.89,15.32,14.8325,15.29
2015-11-17,15.3,15.65,15.2032,15.5
2015-11-18,15.5,15.7,15.33,15.67
2015-11-19,15.7,15.9,15.65,15.89
2015-11-20,15.89,16.22,15.76,15.98
2015-11-23,15.96,16.24,15.96,16.06
2015-11-24,16.05,16.22,15.95,16.15
2015-11-25,16.16,16.17,16.01,16.06
2015-11-27,16.09,16.16,15.99,16.09
2015-11-30,16.01,16.31,15.9,15.94
2015-12-01,16.03,16.19,15.91,16.07
2015-12-02,16.12,16.2,15.78,15.86
2015-12-03,15.9,15.97,15.51,15.52
2015-12-04,15.56,16.01,15.471,15.89
2015-12-07,15.93,15.93,15.51,15.65
2015-12-08,15.52,15.79,15.5,15.55
2015-12-09,15.51,15.628,14.97,15.11
2015-12-10,15.08,15.41,15.03,15.32
2015-12-11,15.04,15.15,14.85,14.96
2015-12-14,NaN,NaN,NaN,14.99
2015-12-15,15.17,15.44,15.05,15.32
2015-12-16,15.44,15.5,15.11,15.48
2015-12-17,15.5,15.8,15.42,15.78
2015-12-18,15.75,15.77,15.32,15.46
2015-12-21,15.56,15.74,15.22,15.38
2015-12-22,15.49,15.51,15.09,15.4
2015-12-23,15.5,15.53,15.38,15.43
2015-12-24,15.52,15.59,15.44,15.56
2015-12-28,15.48,15.57,15.24,15.54
2015-12-29,15.6,15.94,15.49,15.91
2015-12-30,15.85,15.85,15.6,15.71
