Date,Open,High,Low,Close
2016-07-14,14.88,15.0101,14.8462,15.01
2016-07-15,15,15.11,14.2601,14.2601
2016-07-18,14.45,15.25,14.45,14.62
2016-07-19,14.5699,14.9,14.5699,14.9
2016-07-20,15,15,15,15
2016-07-21,15,15.64,15,15.64
2016-07-22,15.64,15.64,15.64,15.64
2016-07-25,15.3054,15.682,15.3054,15.682
2016-07-26,15.6999,15.6999,15.42,15.42
2016-07-27,15.1201,15.1201,15.1201,15.1201
2016-07-28,15.15,15.15,15.15,15.15
2016-07-29,15.15,15.15,15.15,15.15
2016-08-01,15.01,15.01,15.01,15.01
2016-08-02,15.01,15.01,15.01,15.01
2016-08-03,15.01,15.01,15.01,15.01
2016-08-04,15.01,15.01,15.01,15.01
2016-08-05,15.01,15.01,15.01,15.01
2016-08-08,15.2001,15.35,15.2001,15.25
2016-08-09,15.55,15.55,15.55,15.55
2016-08-10,15.52,15.782,15.52,15.782
2016-08-11,15.8,15.8515,15.8,15.8
2016-08-12,NaN,NaN,NaN,15.8
2016-08-15,15.9,16.55,15.9,15.9
2016-08-16,15.9,16.15,15.9,16.15
2016-08-17,16.157,16.36,16.157,16.31
2016-08-18,16.3,16.3214,15.91,15.91
2016-08-19,15.61,15.8715,15.6,15.6
2016-08-22,15.91,15.9101,15.91,15.9101
2016-08-23,NaN,NaN,NaN,15.9101
2016-08-24,15.954,16.35,15.94,16.35
2016-08-25,NaN,NaN,NaN,16.35
2016-08-26,16.3499,16.48,16.262,16.4
2016-08-29,16.426,16.5,16.4,16.4
2016-08-30,16.48,16.5001,16.4,16.4
2016-08-31,16.55,16.55,16.55,16.55
2016-09-01,16.55,16.75,16.05,16.75
2016-09-02,16.8564,16.8564,16.61,16.61
2016-09-06,16.7095,16.7095,15.88,15.88
2016-09-07,15.96,16.18,15.9,15.94
2016-09-08,15.94,16.08,15.94,15.94
2016-09-09,16.24,16.68,15.9,15.92
2016-09-12,16.16,16.297,15.9,16
2016-09-13,15.9445,15.9445,15.4,15.84
2016-09-14,16.45,16.45,15.75,16.13
2016-09-15,16.43,18.08,16,16.11
2016-09-16,16.59,17.5,16.13,17
2016-09-19,16.845,16.845,16.3,16.3
2016-09-20,16.6667,16.6667,16.6667,16.6667
2016-09-21,16.39,16.39,16.26,16.26
2016-09-22,16.74,16.74,16.31,16.34
2016-09-23,16.3,16.59,16.06,16.06
2016-09-26,16.4166,16.4166,16.015,16.05
2016-09-27,16.02,16.2501,16,16
2016-09-28,16.168,16.168,15.99,15.99
2016-09-29,16,16,16,16
2016-09-30,16,16.0219,16,16
2016-10-03,16.14,16.14,16.05,16.05
2016-10-04,16,16,16,16
2016-10-05,16,16,16,16
2016-10-06,NaN,NaN,NaN,16
2016-10-07,16,16,16,16
2016-10-10,16.9,16.9,16.2999,16.2999
2016-10-11,NaN,NaN,NaN,16.2999
2016-10-13,16.05,16.05,16.05,16.05
2016-10-14,16.07,16.07,16.0601,16.07
