Date,Open,High,Low,Close
2016-04-14,2.95,2.95,2.8901,2.92
2016-04-15,2.94,2.96,2.93,2.93
2016-04-18,2.98,3.02,2.94,3.01
2016-04-19,3.01,3.03,2.55,2.8
2016-04-20,2.83,2.86,2.51,2.56
2016-04-21,2.62,2.65,2.41,2.5
2016-04-22,2.49,2.64,2.45,2.56
2016-04-25,2.62,2.65,2.57,2.58
2016-04-26,2.6,2.64,2.56,2.62
2016-04-27,2.62,2.63,2.45,2.46
2016-04-28,2.43,2.52,2.31,2.33
2016-04-29,2.35,2.37,2.3,2.3
2016-05-02,2.2800000000000002,2.39,2.25,2.35
2016-05-03,2.37,2.39,2.34,2.37
2016-05-04,2.35,2.39,2.2800000000000002,2.2800000000000002
2016-05-05,2.3,2.337,2.26,2.2800000000000002
2016-05-06,2.26,2.33,2.16,2.17
2016-05-09,2.19,2.24,2.07,2.22
2016-05-10,2.25,2.3,2.22,2.27
2016-05-11,2.25,2.3,2.25,2.25
2016-05-12,2.25,2.27,2.11,2.21
2016-05-13,2.18,2.69,2.05,2.51
2016-05-16,2.7,2.7,2.52,2.57
2016-05-17,2.65,2.65,2.5,2.58
2016-05-18,2.58,2.62,2.5300000000000002,2.6
2016-05-19,2.62,2.62,2.56,2.58
2016-05-20,2.6,2.7,2.5914,2.69
2016-05-23,2.7,2.84,2.7,2.83
2016-05-24,2.82,2.9,2.76,2.9
2016-05-25,2.85,2.94,2.8,2.86
2016-05-26,2.88,2.88,2.8,2.85
2016-05-27,2.85,2.86,2.7800000000000002,2.81
2016-05-31,2.79,2.85,2.7800000000000002,2.81
2016-06-01,2.76,2.81,2.75,2.81
2016-06-02,2.77,2.9,2.77,2.86
2016-06-03,2.84,2.86,2.8,2.86
2016-06-06,2.84,2.8599,2.6,2.63
2016-06-07,2.56,2.66,2.54,2.59
2016-06-08,2.55,2.59,2.4,2.41
2016-06-09,2.4,2.64,2.24,2.62
2016-06-10,2.09,2.23,2.07,2.16
2016-06-13,2.11,2.22,2.09,2.11
2016-06-14,2.15,2.2,2.1,2.15
2016-06-15,2.2,2.2,2.1,2.12
2016-06-16,2.15,2.26,2.1,2.17
2016-06-17,2.2,2.22,2.1,2.15
2016-06-20,2.12,2.17,2.1,2.14
2016-06-21,2.13,2.15,2.01,2.11
