Date,Open,High,Low,Close
2015-10-14,17.11,17.358,17.11,17.17
2015-10-15,17.26,17.49,17.0141,17.48
2015-10-16,17.55,17.55,17.05,17.21
2015-10-19,17.05,17.38,16.4,16.66
2015-10-20,16.46,16.84,16.2301,16.67
2015-10-21,16.61,17.28,16.51,16.92
2015-10-22,17.02,17.348,16.53,16.67
2015-10-23,16.77,17.09,16.7,17.04
2015-10-26,16.95,17.2399,16.71,16.95
2015-10-27,16.73,16.74,15.53,15.69
2015-10-28,15.68,16.15,14.89,15.25
2015-10-29,15.25,16.48,14.62,16.44
2015-10-30,16.43,17.21,16.19,16.39
2015-11-02,16.41,17.32,16.41,17.25
2015-11-03,17.24,17.49,17,17.4
2015-11-04,17.49,18.27,16.93,16.96
2015-11-05,17.2,18.08,17.18,17.4
2015-11-06,17.3,17.567,17.17,17.43
2015-11-09,17.37,17.37,16.78,17.15
2015-11-10,17.09,17.31,16.85,17.03
2015-11-11,17,17.18,16.7,17.1
2015-11-12,16.94,16.97,16.78,16.81
2015-11-13,16.7,16.9,16.35,16.46
2015-11-16,16.48,16.65,16.26,16.62
2015-11-17,16.64,16.85,16.38,16.62
2015-11-18,16.74,16.94,16.64,16.9
2015-11-19,16.94,17.64,16.92,17.56
2015-11-20,17.66,17.86,17.49,17.77
2015-11-23,17.88,18.09,17.59,18.08
2015-11-24,17.92,18.07,17.66,17.81
2015-11-25,17.78,17.99,17.68,17.85
2015-11-27,17.81,18.455,17.79,18.41
2015-11-30,18.5,18.58,18.04,18.08
2015-12-01,18.05,18.21,17.69,18.1
2015-12-02,18.06,18.06,17.34,17.4
2015-12-03,17.51,17.55,16.74,16.93
2015-12-04,16.87,17.18,16.64,17.07
2015-12-07,16.99,16.99,16.64,16.91
2015-12-08,16.66,17,16.4275,16.68
2015-12-09,16.57,17.01,16.56,16.64
2015-12-10,16.7,16.94,16.6,16.71
2015-12-11,16.34,16.58,16.17,16.32
2015-12-14,16.31,17.04,16.24,16.81
2015-12-15,16.91,17.39,16.81,16.97
2015-12-16,17.02,17.6,16.98,17.6
2015-12-17,17.65,17.73,17.35,17.49
2015-12-18,17.34,17.34,16.6,16.87
2015-12-21,16.97,17.39,16.77,17.06
2015-12-22,17.05,17.38,16.87,17.12
2015-12-23,17.19,17.79,17.09,17.43
2015-12-24,17.36,17.59,17.35,17.44
2015-12-28,17.33,17.6,17,17.57
2015-12-29,17.64,17.9,17.3,17.81
2015-12-30,17.73,17.93,17.54,17.82
2015-12-31,17.71,18.11,17.53,17.7
2016-01-04,17.37,17.79,16.475,17.45
2016-01-05,17.42,17.45,16.845,17.31
2016-01-06,16.96,17.24,16.775,16.85
2016-01-07,16.61,16.87,16.14,16.17
2016-01-08,16.23,16.43,15.86,16.18
2016-01-11,16.17,16.77,15.93,16.64
2016-01-12,16.83,17.64,16.35,16.86
2016-01-13,16.89,16.89,15.73,15.86
2016-01-14,16.01,16.64,15.52,16.13
2016-01-15,15.56,16.44,15.49,16.25
2016-01-19,16.63,16.63,15.85,15.91
2016-01-20,15.61,16.69,15.52,16.46
2016-01-21,16.46,17.225,16.15,16.66
2016-01-22,16.86,17.2,16.38,16.75
2016-01-25,16.63,17.11,16.2,16.42
2016-01-26,16.55,17.51,16.4801,17.15
2016-01-27,16.95,17.12,16.05,16.35
2016-01-28,16.64,16.71,16.1,16.5
2016-01-29,16.52,17,16.51,16.78
2016-02-01,16.66,17.37,16.6,17.18
2016-02-02,16.93,17.15,16.82,16.87
2016-02-03,16.94,17.16,16.68,17.09
2016-02-04,17.15,17.91,17.15,17.69
2016-02-05,17.65,17.75,17.41,17.41
2016-02-08,17.15,17.52,17.15,17.24
2016-02-09,17.15,17.67,17.13,17.55
2016-02-10,17.67,17.94,17.27,17.33
2016-02-11,17.13,17.34,16.83,17.05
2016-02-12,17.26,17.47,17.1,17.26
2016-02-16,17.56,17.79,17.14,17.57
2016-02-17,17.65,17.94,17.42,17.46
2016-02-18,17.46,17.67,17.07,17.28
2016-02-19,17.22,17.23,16.86,17
2016-02-22,17.11,17.23,16.825,16.9
2016-02-23,16.9,16.99,16.59,16.7
2016-02-24,16.5,16.75,16.25,16.57
2016-02-25,16.56,16.79,16.3201,16.78
2016-02-26,16.78,16.78,16.78,16.71
2016-02-29,16.79,16.79,16.36,16.4
2016-03-01,16.4,16.4,16.4,16.55
2016-03-02,16.57,16.67,16.06,16.55
2016-03-03,16.34,16.34,16.34,16.27
2016-03-04,16.27,16.27,16.27,16.53
2016-03-07,16.53,16.53,16.53,16.77
2016-03-08,16.65,16.77,16.57,16.77
2016-03-09,16.67,16.67,16.67,17.37
2016-03-10,17.38,17.97,17.3,17.37
2016-03-11,17.85,18.01,17.505,17.99
2016-03-14,17.9,18.195,17.835,17.91
2016-03-15,17.91,17.91,17.91,17.96
2016-03-16,17.87,18.1,17.4401,18.01
2016-03-17,17.98,18.13,17.96,18.1
2016-03-18,18.57,18.89,18.44,18.66
2016-03-21,18.7,19,18.51,18.53
2016-03-22,18.39,18.5,18.06,18.1
2016-03-23,18.1,18.1,18.1,18.1
2016-03-24,18.1,18.1,18.1,18.4
2016-03-28,18.53,18.84,17.73,17.8
2016-03-29,17.83,18.18,17.7,18.06
2016-03-30,18.16,19.03,18.15,18.14
2016-03-31,18.78,18.85,18.42,18.86
2016-04-01,18.72,18.72,18.72,18.66
2016-04-04,18.61,18.86,18.61,18.55
2016-04-05,18.55,18.55,18.55,18.21
2016-04-06,18.21,18.21,18.21,18.26
2016-04-07,18.26,18.26,18.26,17.15
2016-04-08,17.15,17.44,17.025,17.24
2016-04-11,17.28,17.59,17.085,17.23
2016-04-12,17.25,17.33,17.05,17.25
2016-04-13,17.4,18,17.36,17.94
2016-04-14,17.83,18.15,17.72,18.04
2016-04-15,17.96,18.36,17.3955,18.34
2016-04-18,18.34,18.56,17.96,18.53
2016-04-19,18.6,19.13,18.6,18.72
2016-04-20,18.76,18.85,18.57,18.79
2016-04-21,18.62,18.74,18.05,18.57
2016-04-22,18.59,20.46,18.59,19.31
2016-04-25,19.11,19.25,18.43,18.65
2016-04-26,18.55,19.12,18.41,18.98
2016-04-27,18.98,19.46,18.84,19.31
2016-04-28,19.22,19.38,19.04,19.19
2016-04-29,19.22,19.32,18.48,18.66
2016-05-02,18.67,19.01,18.63,18.81
2016-05-03,18.56,18.91,18.37,18.69
2016-05-04,18.51,19,18.32,18.32
2016-05-05,18.31,18.49,18.27,18.36
