Date,Open,High,Low,Close
2016-07-14,21.8,22.09,21.5,21.56
2016-07-15,21.79,21.88,21.482,21.69
2016-07-18,21.57,21.87,21.56,21.71
2016-07-19,21.74,21.74,21.3005,21.4
2016-07-20,21.5,21.98,21.22,21.47
2016-07-21,21.41,21.51,21.14,21.32
2016-07-22,20.93,21.59,20.84,21.57
2016-07-25,21.6,21.67,21.29,21.37
2016-07-26,21.44,21.68,21.364,21.61
2016-07-27,21.71,21.9,21.59,21.69
2016-07-28,21.69,21.93,21.42,21.89
2016-07-29,21.82,21.85,21.51,21.65
2016-08-01,21.71,21.71,21.4,21.48
2016-08-02,21.41,21.44,21.11,21.17
2016-08-03,21.22,21.47,21.1,21.43
2016-08-04,21.42,21.62,21.34,21.52
2016-08-05,21.58,22.09,21.58,21.98
2016-08-08,21.99,22.09,21.73,21.75
2016-08-09,21.7,21.76,21.45,21.52
2016-08-10,21.48,21.75,21.24,21.4
2016-08-11,21.5,21.71,21.44,21.51
2016-08-12,21.53,21.65,21.27,21.42
2016-08-15,21.53,21.68,21.5,21.63
2016-08-16,21.46,21.55,21.13,21.43
2016-08-17,21.5,21.59,21.27,21.45
2016-08-18,21.63,21.63,21.38,21.59
2016-08-19,21.57,21.87,21.56,21.66
2016-08-22,21.59,21.78,21.49,21.72
2016-08-23,21.73,21.94,21.73,21.8
2016-08-24,21.76,21.98,21.7,21.78
2016-08-25,21.76,21.84,21.56,21.71
2016-08-26,21.73,21.87,21.33,21.38
2016-08-29,21.4,21.53,21.27,21.4
2016-08-30,21.28,21.66,21.28,21.56
2016-08-31,21.69,21.78,21.43,21.57
2016-09-01,21.65,21.96,21.39,21.93
2016-09-02,21.91,22.22,21.91,22.13
2016-09-06,22.1,22.26,21.94,21.97
2016-09-07,22.04,22.27,21.97,22.2
2016-09-08,22.1,22.19,21.77,22.12
2016-09-09,22.01,22.01,21.36,21.38
2016-09-12,21.34,21.76,21.29,21.72
2016-09-13,21.48,21.6,21.29,21.34
2016-09-14,21.38,21.45,21.24,21.25
2016-09-15,21.31,21.65,21.09,21.61
2016-09-16,21.65,22.03,21.445,21.6
2016-09-19,21.74,22.04,21.58,21.71
2016-09-20,21.73,21.77,21.46,21.48
2016-09-21,21.6,21.75,21.39,21.53
2016-09-22,21.72,21.79,21.5,21.68
2016-09-23,21.6,21.77,21.34,21.46
2016-09-26,21.28,21.5953,21.24,21.26
2016-09-27,21.22,21.22,20.7,20.72
2016-09-28,20.78,20.93,20.58,20.93
2016-09-29,20.95,21.0582,20.72,20.91
2016-09-30,20.93,21.21,20.91,21
2016-10-03,20.87,21.28,20.83,21.21
2016-10-04,21.21,21.395,20.96,20.99
2016-10-05,21.06,21.23,20.88,21
2016-10-06,20.86,21.05,20.71,20.77
2016-10-07,20.72,20.86,20.46,20.72
2016-10-10,20.9,22.156,19.8,20.8
2016-10-11,21,21,20.35,20.5
2016-10-12,20.65,20.7,20.3,20.5
2016-10-13,20.45,20.45,20,20.3
2016-10-14,20.25,20.35,19.6,19.7
