Date,Open,High,Low,Close
2016-04-14,9.72,9.76,9.4,9.44
2016-04-15,9.46,9.68,9.36,9.4
2016-04-18,9.4,9.51,9.31,9.35
2016-04-19,9.35,9.36,8.9,9.13
2016-04-20,9.09,9.23,8.98,9.02
2016-04-21,9,9.18,8.89,9.14
2016-04-22,9.1,9.2,9.07,9.15
2016-04-25,9.15,9.18,8.99,9.06
2016-04-26,9.09,9.15,8.96,9.02
2016-04-27,9.03,9.13,8.92,9.1
2016-04-28,9.08,9.15,8.97,9.06
2016-04-29,9.08,9.16,8.95,9.05
2016-05-02,9.15,9.2,8.9,8.99
2016-05-03,9.13,9.63,8.9,9.47
2016-05-04,9.38,9.99,9.25,9.9
2016-05-05,9.86,9.96,9.68,9.78
2016-05-06,9.72,9.8215,9.64,9.74
2016-05-09,9.75,10.02,9.71,9.86
2016-05-10,9.88,10.17,9.88,9.96
2016-05-11,9.97,10.0864,9.48,9.51
2016-05-12,9.57,9.62,9.42,9.54
2016-05-13,9.56,9.66,9.465,9.6
2016-05-16,9.64,9.74,9.51,9.61
2016-05-17,9.62,9.626,9.4,9.52
2016-05-18,9.44,9.58,9.28,9.38
2016-05-19,9.36,9.386,9.01,9.02
2016-05-20,9.12,9.26,9,9.24
2016-05-23,9.29,9.37,9.14,9.29
2016-05-24,9.28,9.7399,9.21,9.69
2016-05-25,9.67,9.67,9.18,9.4
2016-05-26,9.38,9.51,9.14,9.42
2016-05-27,9.46,9.61,9.35,9.5
2016-05-31,9.51,9.53,9.28,9.34
2016-06-01,9.31,9.52,9.24,9.44
2016-06-02,9.46,9.63,9.3,9.34
2016-06-03,9.34,9.4001,9.26,9.27
2016-06-06,9.31,9.49,9.25,9.47
2016-06-07,9.46,9.52,9.3,9.38
2016-06-08,9.38,9.52,9.27,9.49
2016-06-09,9.45,9.49,9.29,9.34
2016-06-10,9.3,9.34,9.17,9.2
2016-06-13,9.15,9.4,9.15,9.26
2016-06-14,9.24,9.42,9.1401,9.26
2016-06-15,9.33,9.38,9.07,9.09
2016-06-16,9.07,9.22,8.83,8.93
2016-06-17,8.88,8.98,8.66,8.73
2016-06-20,8.81,9.05,8.79,8.79
