Date,Open,High,Low,Close
2015-10-14,171.53,178.48,171.28,177.29
2015-10-15,156.73,170,155.23,168.87
2015-10-16,172.11,179.83,170.85,177.56
2015-10-19,169.8,171.5,159.24,163.83
2015-10-20,159.02,162.9,145.35,146.74
2015-10-21,148.005,148.66,88.5,118.61
2015-10-22,110.01,115.5,94.26,109.87
2015-10-23,117.06,121.69,111.64,116.16
2015-10-26,110,118,106.03,110.04
2015-10-27,112.49,114.2,108.74,109.54
2015-10-28,109.4,118,108.2,117
2015-10-29,116.76,127.08,104,111.5
2015-10-30,103.3,108.79,90.46,93.77
2015-11-02,97.16,102.89,94.5,100.47
2015-11-03,103.04,104.8,96.5,97.86
2015-11-04,98.75,99.5,91.26,91.98
2015-11-05,92,92.13,73.32,78.77
2015-11-06,81.8,85.59,77.51,81.77
2015-11-09,83.1,86,80.62,85.41
2015-11-10,84.76,86.4,79.01,83.68
2015-11-11,84.62,86.11,78.6,78.9
2015-11-12,76.81,77,73.69,73.77
2015-11-13,74.54,76.3,72.09,75.41
2015-11-16,74.49,75.69,72.25,73.32
2015-11-17,72.22,74,69.95,70.32
2015-11-18,69.75,75.26,69.33,72.6
2015-11-19,72.42,84.48,72.38,84
2015-11-20,84.75,91.28,83.56,91
2015-11-23,92.1,97.64,87.11,87.41
2015-11-24,87.4,89.07,85.2,87.45
2015-11-25,83.89,90.5,83.02,87.02
2015-11-27,87.3,89.15,86.19,87.09
2015-11-30,87.28,91.21,86.07,89.96
2015-12-01,90.85,99.79,90.52,98.78
2015-12-02,99.05,101.93,95.5,96.23
2015-12-03,97.71,98,92.01,93.66
2015-12-04,93.99,96.75,93.37,95.31
2015-12-07,94.08,95.0499,91.15,92.24
2015-12-08,89.5,95.26,89.04,93.86
2015-12-09,93.22,96.855,91.81,94.4
2015-12-10,93.54,97.45,93.26,97.19
2015-12-11,95.75,98.85,92.2,93.06
2015-12-14,93.94,95.5,92.56,94.14
2015-12-15,107.5,113,104.26,109.59
2015-12-16,112.01,119.87,111.65,118.47
2015-12-17,117.19,117.65,111.37,111.38
2015-12-18,109.64,111.74,105.26,108.52
2015-12-21,110.46,112,107.29,108.76
2015-12-22,108.63,113.49,108.52,113.12
2015-12-23,113.96,116.04,113.34,114.94
2015-12-24,115.05,116.27,113.96,114.11
2015-12-28,108.8,109.55,101.67,102.14
2015-12-29,103.09,103.26,99.95,101.39
2015-12-30,101,104.3527,99.67,102.33
2015-12-31,101.49,104.14,100.62,101.65
2016-01-04,98.06,101.5,95.8,98.5
2016-01-05,99.18,103.8,98.76,100.86
2016-01-06,97.44,105.93,97.4,102.4
2016-01-07,100.12,102.25,95.93,97.39
2016-01-08,99.05,99.27,90.55,91.06
2016-01-11,92.04,92.99,82.83,85.45
2016-01-12,86.02,89.3067,84.75,87.91
2016-01-13,88.83,90.5,84.62,85.54
2016-01-14,85.64,91.21,82.1,89.77
2016-01-15,85.5,89.3987,84.76,88.7
2016-01-19,90.03,90.74,86.42,88.98
2016-01-20,86.1,92.26,83.85,89.35
2016-01-21,89.57,92.61,88.31,90.27
2016-01-22,92.8,93.72,87.84,88.6
2016-01-25,88,95.8,87.55,92.63
2016-01-26,92.15,99.45,91.81,98.57
2016-01-27,96.65,99.45,93.65,94.43
2016-01-28,94.63,95.81,85.6,86.12
2016-01-29,87.32,91.59,87.18,90.22
2016-02-01,88.73,96.42,87.87,95.65
2016-02-02,93.55,101.4,89.03,91.45
2016-02-03,92.68,94.391,87.333,94.19
2016-02-04,92.81,100.625,92.45,96.94
2016-02-05,96.49,98.5,95.011,96.59
2016-02-08,93.03,94.3,87.63,89.63
2016-02-09,87.9,91.94,84.14,86.95
2016-02-10,88.25,91.34,85.26,85.96
2016-02-11,83.76,85.13,79.62,83.44
2016-02-12,85.72,89.07,85.15,88.39
2016-02-16,90.49,91.38,86.6,91.26
2016-02-17,92.19,96.62,91,94.65
2016-02-18,92.95,95.9,91.71,94.11
2016-02-19,90.48,92.425,84.61,84.99
2016-02-22,86.5,86.55,72.43,75.92
2016-02-23,79.24,84.48,78.34,79.27
2016-02-24,77.95,84.99,76.62,83.83
2016-02-25,83.38,85.97,82.1,84.71
2016-02-26,85,86.5,80.505,80.65
2016-02-29,76.52,76.95,63.75,65.8
2016-03-01,65.5,67.8,59.87,65.45
2016-03-02,65.3,69.79,65.12,67.47
2016-03-03,66.82,67,64.61,64.89
2016-03-04,65.72,65.97,59.93,61.31
2016-03-07,63.3,68.28,62.75,65.66
2016-03-08,65.39,66.55,63.05,63.15
2016-03-09,65.49,67.77,63.55,66.86
2016-03-10,67.13,68.62,65.27,66.15
2016-03-11,67.1,69.66,66.83,69.55
2016-03-14,69.55,70.43,66.68,69.04
2016-03-15,69.04,69.04,69.04,33.51
2016-03-16,33.02,35.82,31.2,33.54
2016-03-17,NaN,NaN,NaN,29.69
2016-03-18,30.04,30.93,26.72,26.98
2016-03-21,26.1,31.59,25.985,28.98
2016-03-22,30.075,32.0496,29.01,31.89
2016-03-23,NaN,NaN,NaN,33.43
2016-03-24,32.73,32.95,30.8,31.09
2016-03-28,30.4,30.6,28.26,28.86
2016-03-29,27.84,29.74,27.51,28.98
2016-03-30,28.98,28.98,28.98,27.07
2016-03-31,27.03,27.62,25.75,26.3
2016-04-01,26.3,26.88,26.3,28.1
2016-04-04,28.22,28.22,28.22,26.11
2016-04-05,26.11,26.11,26.11,28.73
2016-04-06,28.73,28.73,28.73,34.17
2016-04-07,34.17,34.17,34.17,35.51
2016-04-08,35.44,35.485,33.38,33.67
2016-04-11,34.37,34.79,31.07,31.35
2016-04-12,30.48,32.85,30.36,31.99
2016-04-13,31.25,33.5,30.34,33.1
2016-04-14,33.1,33.36,31.55,32.36
2016-04-15,32.99,33.138,32.01,32.14
2016-04-18,31.86,33.7,31.41,33.34
2016-04-19,33.39,35.2,33.06,33.45
2016-04-20,33.85,34.43,33.16,33.53
2016-04-21,33.71,33.94,33.07,33.35
2016-04-22,35.39,36.49,35.23,35.98
2016-04-25,37.3,37.9,35.06,35.16
2016-04-26,35.6,36.43,34.52,36.23
2016-04-27,35.82,36.67,34.51,34.92
2016-04-28,35.68,36.26,35,35.25
2016-04-29,36.64,37.22,32.33,33.36
2016-05-02,32.6,32.72,28.92,32.65
2016-05-03,33.11,38.5,32.25,35.79
2016-05-04,35.76,37.75,33.86,34.79
2016-05-05,34.7,35.36,33.17,34.49
2016-05-06,33.18,33.83,29.8,29.89
2016-05-09,30.89,31,27.99,28.07
2016-05-10,27.61,28.7,26.84,27.91
2016-05-11,27.99,28.3,26.28,26.35
2016-05-12,26.48,26.67,23.55,24.93
2016-05-13,25.09,26.6,24.35,25.9
2016-05-16,26.05,27.23,24.86,27.05
2016-05-17,27.91,29.43,27.25,29.08
2016-05-18,28.67,29.6599,27.58,27.86
