Date,Open,High,Low,Close
2016-07-14,21.91,23.2,21.45,23.02
2016-07-15,22.89,23.13,22.41,22.86
2016-07-18,22.77,24.25,22.7,23.5
2016-07-19,23.32,24.13,22.76,23.54
2016-07-20,24.58,25.12,24.21,24.57
2016-07-21,24.48,24.87,24.34,24.48
2016-07-22,24.2,24.3,22.72,22.82
2016-07-25,22.97,23.52,22.75,22.85
2016-07-26,22.77,23.1,22.55,23.05
2016-07-27,23.09,23.58,23.06,23.49
2016-07-28,23.41,23.42,22.82,23.13
2016-07-29,22.87,23.06,22.22,22.3
2016-08-01,22.02,22.06,20.71,20.89
2016-08-02,20.85,21.4,20.68,21.17
2016-08-03,21.07,22.56,20.93,22.36
2016-08-04,22.35,22.7765,21.99,22.24
2016-08-05,22.14,22.27,21.9,21.96
2016-08-08,22.11,22.7,22.108,22.45
2016-08-09,24.07,28.19,23.97,28.16
2016-08-10,27.78,28.04,26.71,27.32
2016-08-11,25.27,25.9,24.31,24.49
2016-08-12,24.59,25.53,24.35,24.92
2016-08-15,25.63,26.91,25.63,26.59
2016-08-16,26.68,27.476,26.25,26.6
2016-08-17,29.11,30.59,28.45,30
2016-08-18,31.22,31.53,28.56,29.19
2016-08-19,28.75,29.5899,28.52,28.74
2016-08-22,29.81,31.69,29.59,31.27
2016-08-23,31.83,31.99,30.9505,31.2
2016-08-24,31.39,32.745,30.27,30.54
2016-08-25,31.09,32.15,30.4,31.09
2016-08-26,31.48,31.839,30.52,30.83
2016-08-29,30.85,31.2,29.98,30.25
2016-08-30,29.96,30.64,29.71,30.25
2016-08-31,30.35,30.35,28.83,29.03
2016-09-01,28.91,29.385,28.71,29.12
2016-09-02,29.28,29.32,28.03,28.76
2016-09-06,29.02,29.77,28.681,29.47
2016-09-07,30.17,30.7695,29.92,30.27
2016-09-08,30.24,30.58,29.72,29.96
2016-09-09,29.57,29.57,28.05,28.06
2016-09-12,27.81,28.93,27.35,28.62
2016-09-13,28.34,28.59,27.35,27.53
2016-09-14,27.6,28.05,27.11,27.38
2016-09-15,27.47,27.69,27.18,27.37
2016-09-16,27.24,27.45,26.77,27.28
2016-09-19,27.45,27.78,27.02,27.1
2016-09-20,27.17,27.2295,26.28,26.33
2016-09-21,26.31,27.07,26.15,26.97
2016-09-22,27.32,27.42,26.8,26.85
2016-09-23,26.56,27.84,26.46,27.72
2016-09-26,27.45,27.58,25.7999,25.89
2016-09-27,25.98,26.49,25.69,26.28
2016-09-28,26.12,26.47,25.9,26.42
2016-09-29,26.44,26.45,24.96,25.05
2016-09-30,25.15,25.54,24.53,24.55
2016-10-03,24.5,24.89,23.8436,24.41
2016-10-04,24.48,24.886,23.65,23.74
2016-10-05,23.86,24.73,23.7,24.59
2016-10-06,24.42,24.481,23.62,23.68
2016-10-07,23.77,23.8399,22.9,23.16
2016-10-10,23.4,24.04,23.24,23.59
2016-10-11,23.42,23.715,22.72,22.94
2016-10-12,22.85,23.36,22.55,22.69
2016-10-13,22.49,22.79,21.84,22.77
2016-10-14,22.85,23.08,22.12,22.18
