date,count
20170313,0
20170312,0
20170311,0
20170310,11
20170309,49
20170308,38
20170307,18
20170306,33
20170305,0
20170304,0
20170303,10
20170302,38
20170301,50
20170228,57
20170227,32
20170226,0
20170225,0
20170224,22
20170223,76
20170222,60
20170221,26
20170220,12
20170219,0
20170218,0
20170217,8
20170216,42
20170215,39
20170214,24
20170213,19
20170212,0
20170211,0
20170210,6
20170209,43
20170208,24
20170207,19
20170206,17
20170205,0
20170204,0
20170203,6
20170202,32
20170201,18
20170131,19
20170130,5
20170129,0
20170128,0
20170127,7
20170126,26
20170125,19
20170124,9
20170123,6
20170122,0
20170121,0
20170120,2
20170119,4
20170118,3
20170117,2
20170116,1
20170115,0
20170114,0
20170113,1
20170112,3
20170111,2
20170110,2
20170109,20
20170108,0
20170107,0
20170106,0
20170105,0
20170104,0
20170103,4
20170102,7
20170101,0
20161231,0
20161230,4
20161229,5
20161228,0
20161227,4
20161226,9
20161225,0
20161224,0
20161223,5
20161222,102
20161221,0
20161220,5
20161219,17
20161218,0
20161217,0
20161216,14
20161215,29
20161214,14
20161213,17
